study,question,measure,n,successes,estimate,lower,upper
alumni,aca1,mc,174,43,0.2471264367816092,0.18895915141723751,0.31621809699521153
alumni,aca2,mc,174,35,0.20114942528735633,0.14833742506014597,0.2668720503363847
mturk_july,birth,mc,246,18,0.07317073170731707,0.04678211837091484,0.1126848452337425
mturk_july,birth,mc_media,237,33,0.13924050632911392,0.10089504003908169,0.18909431296799722
mturk_july,death,mc,246,41,0.16666666666666666,0.12529707007945237,0.21828665387847054
mturk_july,death,mc_media,237,80,0.33755274261603374,0.2803663634337778,0.39992123996707046
mturk_july,deficit,mc,246,143,0.5813008130081301,0.5188639268015882,0.6412376039403818
mturk_july,deficit,mc_media,237,190,0.8016877637130801,0.7462894105181386,0.8474621831660001
mturk_july,fraud,mc,246,39,0.15853658536585366,0.11819391495104364,0.20937965593268226
mturk_july,fraud,mc_media,237,84,0.35443037974683544,0.2962961546703575,0.4172083211044286
mturk_july,illegal,mc,246,56,0.22764227642276422,0.17966777016371918,0.28399210185068124
mturk_july,illegal,mc_media,237,90,0.379746835443038,0.3203414420760215,0.4429883422596714
mturk_july,increase,mc,246,51,0.2073170731707317,0.1613491887906864,0.2622853005382215
mturk_july,increase,mc_media,237,69,0.2911392405063291,0.2370002078901784,0.3519409964823409
mturk_july,mmr,mc,246,20,0.08130081300813008,0.053244177450695214,0.12223293922815914
mturk_july,mmr,mc_media,237,33,0.13924050632911392,0.10089504003908169,0.18909431296799722
mturk_july,religion,mc,246,43,0.17479674796747968,0.132438516217987,0.22715536081413293
mturk_july,religion,mc_media,237,65,0.2742616033755274,0.22140228822669672,0.3343220437718847
mturk_july,science,mc,246,36,0.14634146341463414,0.1076161367086793,0.19594220456375105
mturk_july,science,mc_media,237,39,0.16455696202531644,0.12277537266976275,0.21703928889822283
mturk_march,aca1,mc,557,215,0.3859964093357271,0.3464789769328659,0.4270755668645052
mturk_march,aca2,mc,557,134,0.24057450628366248,0.2069319128836224,0.27777094662378116
staff,aca1,mc,87,23,0.26436781609195403,0.1831002401344622,0.3655639872759852
staff,aca2,mc,87,21,0.2413793103448276,0.1636416315759458,0.340989837533082
alumni,aca1,scale_lenient,160,49,0.30625,0.2400676217843486,0.3815177788446097
alumni,aca1,scale_strict,160,42,0.2625,0.20046636547112734,0.3356705772353376
alumni,aca2,scale_lenient,160,36,0.225,0.1671826029901044,0.2957128043542235
alumni,aca2,scale_strict,160,33,0.20625,0.15080086366994008,0.27547377599331924
mturk_july,birth,scale_lenient,267,21,0.07865168539325842,0.052016120316187964,0.11723957273870236
mturk_july,birth,scale_strict,267,17,0.06367041198501873,0.04012918801107102,0.09958892968577099
mturk_july,death,scale_lenient,267,23,0.08614232209737828,0.058085837636199934,0.1259386430977146
mturk_july,death,scale_strict,267,20,0.0749063670411985,0.04901076551665359,0.11286053369872467
mturk_july,deficit,scale_lenient,267,88,0.3295880149812734,0.27597105439312164,0.38803902590907846
mturk_july,deficit,scale_strict,267,77,0.2883895131086142,0.23735621546194288,0.34542553260562436
mturk_july,fraud,scale_lenient,267,26,0.09737827715355805,0.06732190570516125,0.13885575654728954
mturk_july,fraud,scale_strict,267,19,0.07116104868913857,0.04602679860078502,0.10846010677508117
mturk_july,illegal,scale_lenient,267,12,0.0449438202247191,0.02589386241272529,0.07690228608655626
mturk_july,illegal,scale_strict,267,8,0.0299625468164794,0.015259128635740641,0.057999444505492576
mturk_july,increase,scale_lenient,267,21,0.07865168539325842,0.052016120316187964,0.11723957273870236
mturk_july,increase,scale_strict,267,15,0.056179775280898875,0.034337823158684055,0.09061150685913374
mturk_july,mmr,scale_lenient,267,7,0.026217228464419477,0.012756463213538662,0.053117716088182464
mturk_july,mmr,scale_strict,267,5,0.018726591760299626,0.008024748380095436,0.043080643242601524
mturk_july,religion,scale_lenient,267,12,0.0449438202247191,0.02589386241272529,0.07690228608655626
mturk_july,religion,scale_strict,267,11,0.04119850187265917,0.023157803414132063,0.0722539512456374
mturk_july,science,scale_lenient,267,6,0.02247191011235955,0.01033882367731975,0.048150961784889285
mturk_july,science,scale_strict,267,5,0.018726591760299626,0.008024748380095436,0.043080643242601524
mturk_march,aca1,scale_lenient,502,195,0.3884462151394422,0.34681088042100133,0.43177587231153663
mturk_march,aca1,scale_strict,502,140,0.2788844621513944,0.24144751550860966,0.3196797979433854
mturk_march,aca2,scale_lenient,502,202,0.40239043824701193,0.36039128270753595,0.4458721259334347
mturk_march,aca2,scale_strict,502,157,0.31274900398406374,0.2737445953383176,0.3545974538912999
staff,aca1,scale_lenient,90,24,0.26666666666666666,0.18623818738233572,0.36619843788101675
staff,aca1,scale_strict,90,17,0.18888888888888888,0.12141259844132832,0.2818362352431416
staff,aca2,scale_lenient,90,18,0.2,0.1304240118271706,0.2941373635114255
staff,aca2,scale_strict,90,16,0.17777777777777778,0.11249737158330352,0.2694389204470404
